State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Rajasthan,8,Ajmer,Ajmer_21,21,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),54.4,60.3
Rajasthan,8,Ajmer,Ajmer_21,21,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),52.7,53.4
Rajasthan,8,Ajmer,Ajmer_21,21,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,76.3,68.7
Rajasthan,8,Ajmer,Ajmer_21,21,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,52.5,53.2
Rajasthan,8,Ajmer,Ajmer_21,21,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,59.6,57.6
Rajasthan,8,Ajmer,Ajmer_21,21,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.9,0
Rajasthan,8,Ajmer,Ajmer_21,21,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),3.7,0
Rajasthan,8,Ajmer,Ajmer_21,21,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),3.3,0
Rajasthan,8,Ajmer,Ajmer_21,21,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),3.8,0
Rajasthan,8,Ajmer,Ajmer_21,21,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.5,0
Rajasthan,8,Ajmer,Ajmer_21,21,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),2.9,0
Rajasthan,8,Ajmer,Ajmer_21,21,Characteristics of Women,Women who are literate (%),68.4,0
Rajasthan,8,Ajmer,Ajmer_21,21,Characteristics of Women,Women with 10 or more years of schooling (%),40.2,31.3
Rajasthan,8,Ajmer,Ajmer_21,21,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),5.3,0
Rajasthan,8,Ajmer,Ajmer_21,21,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Rajasthan,8,Ajmer,Ajmer_21,21,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),2.8,2.3
Rajasthan,8,Ajmer,Ajmer_21,21,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),11.7,12.2
Rajasthan,8,Ajmer,Ajmer_21,21,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),22.3,33.5
